organId,organ,sex,modality,as1_label,as2_label,cosine_sim,as1_dataset_count,as2_dataset_count
UBERON:0004539,right kidney,Male,sc_transcriptomics,renal papilla,kidney capsule,0.4065762577287079,7,7
UBERON:0004538,left kidney,Male,sc_transcriptomics,outer cortex of kidney,kidney pyramid,0.278053732967427155015,46,81
UBERON:0004538,left kidney,Female,sc_transcriptomics,outer cortex of kidney,kidney pyramid,0.40545039480029177875,46,81
UBERON:0004539,right kidney,Female,sc_transcriptomics,renal papilla,renal column,0.2426309563114197039825,7,12
UBERON:0004539,right kidney,Male,sc_transcriptomics,renal papilla,renal column,0.2598956640517503407065,7,12
UBERON:0004538,left kidney,Female,sc_transcriptomics,renal papilla,renal column,0.2426309563114197039825,7,12
UBERON:0002108,small intestine,Female,sc_transcriptomics,Descending part of duodenum,Ascending part of duodenum,0.34309336784466228618,19,19
UBERON:0002108,small intestine,Male,sc_proteomics,Descending part of duodenum,Ascending part of duodenum,0.9905944272182949,19,19
UBERON:0002108,small intestine,Male,sc_transcriptomics,Descending part of duodenum,Ascending part of duodenum,0.40133886513874487052,19,19
UBERON:0002108,small intestine,Female,sc_proteomics,Descending part of duodenum,Ascending part of duodenum,0.7380054517905084,19,19
UBERON:0002108,small intestine,Female,sc_transcriptomics,ileum,Ascending part of duodenum,0.38062455310616172989,8,19
UBERON:0002108,small intestine,Male,sc_transcriptomics,ileum,Ascending part of duodenum,0.4827765235245308144,8,19
UBERON:0002108,small intestine,Female,sc_proteomics,ileum,Ascending part of duodenum,0.9069446236296925,8,19
UBERON:0002108,small intestine,Male,sc_transcriptomics,jejunum,Ascending part of duodenum,0.42832333533590827822,20,19
UBERON:0002108,small intestine,Male,sc_proteomics,jejunum,Ascending part of duodenum,0.9903514133253745,20,19
UBERON:0002108,small intestine,Female,sc_proteomics,jejunum,Ascending part of duodenum,0.6929262828874484,20,19
UBERON:0002108,small intestine,Female,sc_transcriptomics,jejunum,Ascending part of duodenum,0.35744860442673938903,20,19
UBERON:0002108,small intestine,Male,sc_transcriptomics,Horizontal part of duodenum,Ascending part of duodenum,0.42727499756122916426,18,19
UBERON:0002108,small intestine,Female,sc_transcriptomics,Horizontal part of duodenum,Ascending part of duodenum,0.38176576599068232283,18,19
UBERON:0000948,heart,Male,sc_transcriptomics,heart right ventricle,interventricular septum,0.66690010221966721333,30,15
UBERON:0000948,heart,Female,sc_transcriptomics,heart right ventricle,interventricular septum,0.65573661417617096444,30,15
UBERON:0000948,heart,Male,sc_transcriptomics,left cardiac atrium,interventricular septum,0.50024533875275602222,14,15
UBERON:0000948,heart,Female,sc_transcriptomics,left cardiac atrium,interventricular septum,0.36145660096275184444,14,15
UBERON:0000948,heart,Male,sc_transcriptomics,right cardiac atrium,interventricular septum,0.52712097081244508111,17,15
UBERON:0000948,heart,Female,sc_transcriptomics,right cardiac atrium,interventricular septum,0.38258446829287695222,17,15
UBERON:0000948,heart,Male,sc_transcriptomics,heart left ventricle,interventricular septum,0.59795476633179560667,65,15
UBERON:0000948,heart,Female,sc_transcriptomics,heart left ventricle,interventricular septum,0.62387638591482962222,65,15
UBERON:0001004,respiratory system,Female,sc_transcriptomics,Right posterior bronchopulmonary segment,Lateral segmental bronchus,0.486629014766021791875,2,3
UBERON:0001004,respiratory system,Female,sc_transcriptomics,Right superior bronchopulmonary segment,Lateral segmental bronchus,0.3514596282334711625,1,3
UBERON:0001004,respiratory system,Female,sc_transcriptomics,right lung hilus,Lateral segmental bronchus,0.379383818407018683125,1,3
UBERON:0000059,large intestine,Female,sc_proteomics,transverse colon,descending colon,0.722952172847754,15,20
UBERON:0000059,large intestine,Female,sc_transcriptomics,rectum,descending colon,0.18224331870654619544,3,20
UBERON:0000059,large intestine,Female,sc_transcriptomics,caecum,descending colon,0.30619007082637709729,31,20
UBERON:0000059,large intestine,Male,sc_transcriptomics,caecum,descending colon,0.17046058732542682182,31,20
UBERON:0000059,large intestine,Female,sc_proteomics,caecum,descending colon,0.9400565240141229,31,20
UBERON:0000059,large intestine,Male,sc_proteomics,caecum,descending colon,0.09879992743773502,31,20
UBERON:0004538,left kidney,Male,sc_transcriptomics,renal papilla,renal column,0.2598956640517503407065,7,12
UBERON:0002108,small intestine,Female,sc_proteomics,Horizontal part of duodenum,Distal part of ileum,0.9069446236296923,18,18
UBERON:0002108,small intestine,Male,sc_proteomics,Horizontal part of duodenum,Distal part of ileum,0.9608500211278302,18,18
UBERON:0002108,small intestine,Female,sc_proteomics,Ascending part of duodenum,Distal part of ileum,0.9069446236296923,19,18
UBERON:0002108,small intestine,Female,sc_transcriptomics,ileum,Duodenum,0.5322375968235576900,8,3
UBERON:0002108,small intestine,Male,sc_transcriptomics,jejunum,Duodenum,0.39679013975719617986,20,3
UBERON:0002108,small intestine,Female,sc_transcriptomics,jejunum,Duodenum,0.34288021038097967336,20,3
UBERON:0002108,small intestine,Female,sc_transcriptomics,Ascending part of duodenum,Duodenum,0.37915523474408357454,19,3
UBERON:0002108,small intestine,Female,sc_transcriptomics,Distal part of ileum,Duodenum,0.34042354773879736675,18,3
UBERON:0002108,small intestine,Male,sc_transcriptomics,Distal part of ileum,Duodenum,0.27665419312106853812,18,3
UBERON:0000059,large intestine,Female,sc_proteomics,transverse colon,sigmoid colon,0.9768897994741146,15,23
UBERON:0000059,large intestine,Male,sc_proteomics,descending colon,sigmoid colon,0.9895096749037502,20,23
UBERON:0000059,large intestine,Male,sc_transcriptomics,descending colon,sigmoid colon,0.28637198046725292244,20,23
UBERON:0000059,large intestine,Female,sc_transcriptomics,descending colon,sigmoid colon,0.32887851173906933756,20,23
UBERON:0000059,large intestine,Male,sc_proteomics,caecum,sigmoid colon,0.0818778882546427,31,23
UBERON:0000059,large intestine,Female,sc_transcriptomics,transverse colon,sigmoid colon,0.22633523145764160156,15,23
UBERON:0000059,large intestine,Male,sc_proteomics,transverse colon,sigmoid colon,0.9568405435235907,15,23
UBERON:0000059,large intestine,Male,sc_transcriptomics,transverse colon,sigmoid colon,0.30812644021281859439,15,23
UBERON:0000059,large intestine,Female,sc_transcriptomics,rectum,sigmoid colon,0.28648625783644737922,3,23
UBERON:0000059,large intestine,Female,sc_proteomics,descending colon,sigmoid colon,0.6230691400003786,20,23
UBERON:0000059,large intestine,Female,sc_transcriptomics,caecum,sigmoid colon,0.29713591749161747883,31,23
