organId,organ,as1_label,as2_label,cosine_sim,as1_dataset_count,as2_dataset_count
UBERON:0001004,respiratory system,Left apical bronchopulmonary segment,Right anterior segmental bronchus,0.947442464252219,11,2
UBERON:0001004,respiratory system,left lung hilus,Left anterior bronchopulmonary segment,0.9462260476944369,3,13
UBERON:0001004,respiratory system,Right apical bronchopulmonary segment,Lateral bronchopulmonary segment,0.9455515694764876,7,31
UBERON:0001004,respiratory system,left lung hilus,Right posterior bronchopulmonary segment,0.9454385483492181,3,13
UBERON:0001004,respiratory system,Right apical bronchopulmonary segment,Inferior lingular bronchopulmonary segment,0.9449724116026839,7,5
UBERON:0001004,respiratory system,left lung hilus,Right apical bronchopulmonary segment,0.9447509548391358,3,7
UBERON:0001004,respiratory system,Right anterior basal bronchopulmonary segment,Superior lingular bronchopulmonary segment,0.9446217589790166,14,9
UBERON:0001004,respiratory system,Left anterior bronchopulmonary segment,Inferior lingular bronchopulmonary segment,0.9441226734172078,13,5
UBERON:0001004,respiratory system,Left anterior bronchopulmonary segment,Left apical segmental bronchus,0.9438236056897086,13,9
UBERON:0001004,respiratory system,Lateral bronchopulmonary segment,Left anterior bronchopulmonary segment,0.9435516413181421,31,13
UBERON:0001004,respiratory system,right lung hilus,Right superior segmental bronchus,0.9433093661649224,2,2
UBERON:0001004,respiratory system,Lateral bronchopulmonary segment,Superior lingular bronchus,0.9430663478335235,31,2
UBERON:0001004,respiratory system,Right anterior bronchopulmonary segment,Left apical segmental bronchus,0.9429649856020855,18,9
UBERON:0001004,respiratory system,Left posterior bronchopulmonary segment,Right superior segmental bronchus,0.9396346900901207,8,2
