dataset,reported_organ,tool,modality,as,pct_hra_ct_overlap
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002094,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002116,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14929,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14930,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002080,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002079,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004536,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001158,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14966,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002078,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002084,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001153,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002194,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001156,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0010397,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002115,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0006082,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002097,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14928,0.85294117647058823529
http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002007,0.85294117647058823529
http://purl.org/ccf/1.5/48f6aab3-8d58-4675-806c-3fd7d5b7336f,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0001159,0.2
http://purl.org/ccf/1.5/48f6aab3-8d58-4675-806c-3fd7d5b7336f,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0002116,0.2
http://purl.org/ccf/1.5/48f6aab3-8d58-4675-806c-3fd7d5b7336f,,spatial,spatial,http://purl.org/sig/ont/fma/fma14928,0.2
http://purl.org/ccf/1.5/48f6aab3-8d58-4675-806c-3fd7d5b7336f,,spatial,spatial,http://purl.org/sig/ont/fma/fma14929,0.2
http://purl.org/ccf/1.5/48f6aab3-8d58-4675-806c-3fd7d5b7336f,,spatial,spatial,http://purl.org/sig/ont/fma/fma14966,0.2
http://purl.org/ccf/1.5/48f6aab3-8d58-4675-806c-3fd7d5b7336f,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0001052,0.2
http://purl.org/ccf/1.5/48f6aab3-8d58-4675-806c-3fd7d5b7336f,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0001156,0.2
http://purl.org/ccf/1.5/48f6aab3-8d58-4675-806c-3fd7d5b7336f,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0002097,0.2
http://purl.org/ccf/1.5/48f6aab3-8d58-4675-806c-3fd7d5b7336f,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0002115,0.2
http://purl.org/ccf/1.5/48f6aab3-8d58-4675-806c-3fd7d5b7336f,,spatial,spatial,http://purl.org/sig/ont/fma/fma14930,0.2
http://purl.org/ccf/1.5/48f6aab3-8d58-4675-806c-3fd7d5b7336f,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0001153,0.2
http://purl.org/ccf/1.5/48f6aab3-8d58-4675-806c-3fd7d5b7336f,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0001157,0.2
http://purl.org/ccf/1.5/48f6aab3-8d58-4675-806c-3fd7d5b7336f,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0001158,0.2
http://purl.org/ccf/1.5/4ae53bc8-b6da-4ba9-9030-a93ae44389b9,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001284,0.91304347826086956522
http://purl.org/ccf/1.5/4ae53bc8-b6da-4ba9-9030-a93ae44389b9,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002079,0.91304347826086956522
http://purl.org/ccf/1.5/4ae53bc8-b6da-4ba9-9030-a93ae44389b9,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002094,0.91304347826086956522
http://purl.org/ccf/1.5/4ae53bc8-b6da-4ba9-9030-a93ae44389b9,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002015,0.91304347826086956522
