modality,tool,cell_label,cell_id,cell_count,is_mapped,level_1_cell_id,level_1_cell_label,level_2_cell_id,level_2_cell_label
sc_transcriptomics,azimuth,plasmacytoid dendritic cell,http://purl.obolibrary.org/obo/CL_0000784,2266,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
sc_transcriptomics,azimuth,mast cell,http://purl.obolibrary.org/obo/CL_0000097,2141,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_transcriptomics,azimuth,cycling natural killer cell,http://purl.obolibrary.org/obo/CL_4033071,2041,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_transcriptomics,azimuth,T cell,http://purl.obolibrary.org/obo/CL_0000084,2039,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_transcriptomics,azimuth,"CD4-positive, alpha-beta cytotoxic T cell",http://purl.obolibrary.org/obo/CL_0000934,2034,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_transcriptomics,azimuth,non-classical monocyte,http://purl.obolibrary.org/obo/CL_0000875,2007,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000576,monocyte
sc_transcriptomics,azimuth,monocyte-derived dendritic cell,http://purl.obolibrary.org/obo/CL_0011031,1982,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
sc_transcriptomics,azimuth,platelet,http://purl.obolibrary.org/obo/CL_0000233,1937,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000081,blood cell
sc_transcriptomics,azimuth,hematopoietic precursor cell,http://purl.obolibrary.org/obo/CL_0008001,1844,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_transcriptomics,azimuth,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",http://purl.obolibrary.org/obo/CL_0000935,1816,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_transcriptomics,azimuth,smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000192,1674,true,http://purl.obolibrary.org/obo/CL_0000187,muscle cell,,
sc_transcriptomics,azimuth,innate lymphoid cell,http://purl.obolibrary.org/obo/CL_0001065,1588,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_transcriptomics,azimuth,plasma cell,http://purl.obolibrary.org/obo/CL_0000786,1544,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_transcriptomics,azimuth,endothelial cell of lymphatic vessel,http://purl.obolibrary.org/obo/CL_0002138,1523,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_transcriptomics,azimuth,Schwann cell,http://purl.obolibrary.org/obo/CL_0002573,1492,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
sc_transcriptomics,azimuth,renal interstitial pericyte,http://purl.obolibrary.org/obo/CL_1001318,1256,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,,
sc_transcriptomics,azimuth,peritubular capillary endothelial cell,http://purl.obolibrary.org/obo/CL_1001033,1249,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_transcriptomics,azimuth,kidney connecting tubule epithelial cell,http://purl.obolibrary.org/obo/CL_1000768,1248,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,azimuth,alternatively activated macrophage,http://purl.obolibrary.org/obo/CL_0000890,1224,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000235,macrophage
sc_transcriptomics,azimuth,"cycling CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_4033075,1200,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_transcriptomics,azimuth,kidney loop of Henle long descending thin limb outer medulla epithelial cell,http://purl.obolibrary.org/obo/CL_4030013,1198,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,azimuth,epithelial cell of early distal convoluted tubule,http://purl.obolibrary.org/obo/CL_4030016,1190,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,azimuth,kidney cortex collecting duct principal cell,http://purl.obolibrary.org/obo/CL_1000714,1180,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,azimuth,kidney loop of Henle cortical thick ascending limb epithelial cell,http://purl.obolibrary.org/obo/CL_1001109,1168,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,azimuth,kidney cortex collecting duct intercalated cell,http://purl.obolibrary.org/obo/CL_1000715,1161,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,azimuth,epithelial cell of proximal tubule segment 1,http://purl.obolibrary.org/obo/CL_4030009,1134,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,azimuth,epithelial cell of proximal tubule segment 3,http://purl.obolibrary.org/obo/CL_4030011,1120,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
