sex,dataset,technology,description,annotation_method,unique_cell_type_count
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D6$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",celltypist,33
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$interventricular%20septum,10x,"Data/Assay Types: 10x, ",celltypist,23
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$interventricular%20septum,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,27
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D6$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",azimuth,18
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D6$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",celltypist,38
Male,https://entity.api.hubmapconsortium.org/entities/13bc02307be3a4660bee86299c91e095,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,53
Male,https://entity.api.hubmapconsortium.org/entities/13bc02307be3a4660bee86299c91e095,RNAseq,Dataset Type: RNAseq [Salmon],popv,31
Male,https://entity.api.hubmapconsortium.org/entities/e81c9c9753998b2ca69e8bceadf2409d,RNAseq,Dataset Type: RNAseq [Salmon],popv,28
Male,https://entity.api.hubmapconsortium.org/entities/b1ac71625c1aba9d819fae1725c27a42,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,21
Female,https://entity.api.sennetconsortium.org/entities/316aa8ebc397f14ef3e465645f10fe05,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,46
Female,https://entity.api.sennetconsortium.org/entities/316aa8ebc397f14ef3e465645f10fe05,RNAseq,Dataset Type: RNAseq [Salmon],popv,30
Female,https://entity.api.sennetconsortium.org/entities/316aa8ebc397f14ef3e465645f10fe05,RNAseq,Dataset Type: RNAseq [Salmon],frmatch,47
Female,https://entity.api.hubmapconsortium.org/entities/51bfd85763954248725ebf69f0dde5eb,Slide-seq,Dataset Type: Slide-seq [Salmon],pan-human-azimuth,37
Male,https://entity.api.hubmapconsortium.org/entities/699e1e0966bf3bc53e8a114eff9c75d0,CODEX,Dataset Type: CODEX,sc_proteomics,21
Male,https://entity.api.hubmapconsortium.org/entities/224e01ccfc20977ee5a6a6a5b96aa7d7,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,20
Female,https://entity.api.hubmapconsortium.org/entities/33b9c54d7c295897826e1e5271d4fc24,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,15
Female,https://entity.api.hubmapconsortium.org/entities/33b9c54d7c295897826e1e5271d4fc24,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,17
Female,https://entity.api.hubmapconsortium.org/entities/33b9c54d7c295897826e1e5271d4fc24,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,9
Male,https://entity.api.hubmapconsortium.org/entities/07b9f36478e22bf820ac6a084e01bf94,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,29
Male,https://doi.org/10.1016/j.cell.2022.12.028#CRC01014,t-CyCIF,"Multiplexed CyCIF and H&E imaging, combined with scRNA-seq, and GeoMx transcriptomics",sc_proteomics,13
Male,https://doi.org/10.1016/j.cell.2022.12.028#CRC01020,t-CyCIF,"Multiplexed CyCIF and H&E imaging, combined with scRNA-seq, and GeoMx transcriptomics",sc_proteomics,13
Male,https://doi.org/10.1016/j.cell.2022.12.028#CRC01025,t-CyCIF,"Multiplexed CyCIF and H&E imaging, combined with scRNA-seq, and GeoMx transcriptomics",sc_proteomics,13
Male,https://doi.org/10.1016/j.cell.2022.12.028#CRC01029,t-CyCIF,"Multiplexed CyCIF and H&E imaging, combined with scRNA-seq, and GeoMx transcriptomics",sc_proteomics,13
Male,https://doi.org/10.1016/j.cell.2022.12.028#CRC01034,t-CyCIF,"Multiplexed CyCIF and H&E imaging, combined with scRNA-seq, and GeoMx transcriptomics",sc_proteomics,13
Male,https://doi.org/10.1016/j.cell.2022.12.028#CRC01039,t-CyCIF,"Multiplexed CyCIF and H&E imaging, combined with scRNA-seq, and GeoMx transcriptomics",sc_proteomics,13
Male,https://entity.api.hubmapconsortium.org/entities/53fe8a84564b313d4e8ee90f337129dc,RNAseq,Dataset Type: RNAseq [Salmon],popv,29
Male,https://entity.api.hubmapconsortium.org/entities/53fe8a84564b313d4e8ee90f337129dc,RNAseq,Dataset Type: RNAseq [Salmon],frmatch,51
Male,https://entity.api.hubmapconsortium.org/entities/53fe8a84564b313d4e8ee90f337129dc,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,30
Male,https://entity.api.hubmapconsortium.org/entities/3152ddcb811d362113ebb119602f2cd4,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,29
Male,https://entity.api.sennetconsortium.org/entities/dd177dc7f8f628c644d45cdef92267f2,Visium (no probes),Dataset Type: Visium (no probes) [Salmon + Scanpy],pan-human-azimuth,8
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/e5f58829-1a66-40b5-a624-9046778e74f5#TSP27$mammary%20gland,10x,"Data/Assay Types: 10x, ",popv,14
