dataset,count_dx,tool,cell_count,tool_cell_count
https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#367$blood,,pan-human-azimuth,5011,4800
https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#367$blood,,popv,5011,5011
https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#90$blood,,azimuth,8008,8008
https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#90$blood,,pan-human-azimuth,8008,7417
https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#90$blood,,popv,8008,8008
https://api.cellxgene.cziscience.com/dp/v1/collections/05e3d0fc-c9dd-4f14-9163-2b242b3bb5c2#Atlanta_A230245$cranial%20nerve%20II,,pan-human-azimuth,5666,4266
https://api.cellxgene.cziscience.com/dp/v1/collections/05e3d0fc-c9dd-4f14-9163-2b242b3bb5c2#Atlanta_A230245$optic%20disc,,pan-human-azimuth,1804,1242
https://api.cellxgene.cziscience.com/dp/v1/collections/05e3d0fc-c9dd-4f14-9163-2b242b3bb5c2#Atlanta_A230245$optic%20disc,,popv,1804,1804
https://api.cellxgene.cziscience.com/dp/v1/collections/05e3d0fc-c9dd-4f14-9163-2b242b3bb5c2#BCM_22_0047$cranial%20nerve%20II,,pan-human-azimuth,7219,5792
https://api.cellxgene.cziscience.com/dp/v1/collections/05e3d0fc-c9dd-4f14-9163-2b242b3bb5c2#BCM_22_0047$optic%20disc,,pan-human-azimuth,7530,4988
https://api.cellxgene.cziscience.com/dp/v1/collections/05e3d0fc-c9dd-4f14-9163-2b242b3bb5c2#BCM_22_0047$optic%20disc,,popv,7530,7530
https://api.cellxgene.cziscience.com/dp/v1/collections/05e3d0fc-c9dd-4f14-9163-2b242b3bb5c2#BCM_22_0101$cranial%20nerve%20II,,pan-human-azimuth,9991,7305
https://api.cellxgene.cziscience.com/dp/v1/collections/05e3d0fc-c9dd-4f14-9163-2b242b3bb5c2#BCM_22_0183$cranial%20nerve%20II,,pan-human-azimuth,6923,4281
https://api.cellxgene.cziscience.com/dp/v1/collections/05e3d0fc-c9dd-4f14-9163-2b242b3bb5c2#BCM_22_0183$optic%20disc,,pan-human-azimuth,7477,5871
https://api.cellxgene.cziscience.com/dp/v1/collections/05e3d0fc-c9dd-4f14-9163-2b242b3bb5c2#BCM_22_0183$optic%20disc,,popv,7477,7477
