modality,tool,cell_label,cell_id,is_mapped,level_1_cell_id,level_1_cell_label,level_2_cell_id,level_2_cell_label
sc_transcriptomics,azimuth,pancreatic A cell,http://purl.obolibrary.org/obo/CL_0000171,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,pan-human-azimuth,pancreatic A cell,http://purl.obolibrary.org/obo/CL_0000171,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,celltypist,pancreatic A cell,http://purl.obolibrary.org/obo/CL_0000171,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,azimuth,pancreatic D cell,http://purl.obolibrary.org/obo/CL_0000173,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
sc_transcriptomics,celltypist,pancreatic D cell,http://purl.obolibrary.org/obo/CL_0000173,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
sc_transcriptomics,azimuth,hepatocyte,http://purl.obolibrary.org/obo/CL_0000182,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,pan-human-azimuth,hepatocyte,http://purl.obolibrary.org/obo/CL_0000182,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,popv,hepatocyte,http://purl.obolibrary.org/obo/CL_0000182,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,celltypist,hepatocyte,http://purl.obolibrary.org/obo/CL_0000182,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,deepcelltypes-hubmap,myoepithelial cell,http://purl.obolibrary.org/obo/CL_0000185,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
