cell_label,cell_id,is_mapped,level_1_cell_id,level_1_cell_label,level_2_cell_id,level_2_cell_label
hepatocyte,http://purl.obolibrary.org/obo/CL_0000182,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
myoepithelial cell,http://purl.obolibrary.org/obo/CL_0000185,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
myofibroblast cell,http://purl.obolibrary.org/obo/CL_0000186,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,,
muscle cell,http://purl.obolibrary.org/obo/CL_0000187,true,http://purl.obolibrary.org/obo/CL_0000187,muscle cell,,
slow muscle cell,http://purl.obolibrary.org/obo/CL_0000189,true,http://purl.obolibrary.org/obo/CL_0000187,muscle cell,,
fast muscle cell,http://purl.obolibrary.org/obo/CL_0000190,true,http://purl.obolibrary.org/obo/CL_0000187,muscle cell,,
smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000192,true,http://purl.obolibrary.org/obo/CL_0000187,muscle cell,,
cardiac muscle cell (sensu Arthopoda),http://purl.obolibrary.org/obo/CL_0000193,true,http://purl.obolibrary.org/obo/CL_0000187,muscle cell,,
insect flight muscle cell,http://purl.obolibrary.org/obo/CL_0000196,true,http://purl.obolibrary.org/obo/CL_0000187,muscle cell,,
pain receptor cell,http://purl.obolibrary.org/obo/CL_0000198,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
mechanoreceptor cell,http://purl.obolibrary.org/obo/CL_0000199,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
touch receptor cell,http://purl.obolibrary.org/obo/CL_0000200,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
auditory hair cell,http://purl.obolibrary.org/obo/CL_0000202,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
gravity sensitive cell,http://purl.obolibrary.org/obo/CL_0000203,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
acceleration receptive cell,http://purl.obolibrary.org/obo/CL_0000204,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
thermoreceptor cell,http://purl.obolibrary.org/obo/CL_0000205,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
olfactory receptor cell,http://purl.obolibrary.org/obo/CL_0000207,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
taste receptor cell,http://purl.obolibrary.org/obo/CL_0000209,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
photoreceptor cell,http://purl.obolibrary.org/obo/CL_0000210,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
synovial cell,http://purl.obolibrary.org/obo/CL_0000214,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
Sertoli cell,http://purl.obolibrary.org/obo/CL_0000216,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
myelinating Schwann cell,http://purl.obolibrary.org/obo/CL_0000218,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
erythrocyte,http://purl.obolibrary.org/obo/CL_0000232,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000081,blood cell
platelet,http://purl.obolibrary.org/obo/CL_0000233,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000081,blood cell
