dataset,reported_organ,tool,modality,as,similarity
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7426,0.020490360473415844
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002094,0.967954714894634
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002097,0.06897168736636451
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0016479,0.024103032293426526
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002194,0.00020352670745825416
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002080,0.979055054616781
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001248,0.004567578941706846
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0010397,0.00018289044240463295
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_8410027,0.03380340464092485
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004888,0.0077297128198659925
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002084,1
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004536,0.00021087569882449669
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002078,0.8763777219445942
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_8410026,0.03380340464092486
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0010417,0.00020097327834347705
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0010748,0.0002062264736128885
