#####Coverage percentage#####
87.56%
#####Number of terms covered by each term in the slim#####
melanocyte,14
http://purl.obolibrary.org/obo/CL_0000452,thyroid hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000470,digestive enzyme secreting cell
http://purl.obolibrary.org/obo/CL_4030031,interstitial cell
http://purl.obolibrary.org/obo/CL_0002382,multinucleate conidium
http://purl.obolibrary.org/obo/CL_0000574,erythrophore
http://purl.obolibrary.org/obo/CL_0002373,growth hormone releasing hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000481,cholecystokin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000480,secretin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000440,melanocyte stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_1000597,papillary tips cell
http://purl.obolibrary.org/obo/CL_0000172,somatostatin secreting cell
http://purl.obolibrary.org/obo/CL_0011029,cnidocyte
http://purl.obolibrary.org/obo/CL_0002630,actinomycete-type spore
http://purl.obolibrary.org/obo/CL_0000680,muscle precursor cell
http://purl.obolibrary.org/obo/CL_0000001,primary cultured cell
http://purl.obolibrary.org/obo/CL_0011010,lateral mesodermal cell
http://purl.obolibrary.org/obo/CL_0000227,binucleate cell
http://purl.obolibrary.org/obo/CL_1000147,cardiac valve cell
http://purl.obolibrary.org/obo/CL_0007019,epidermal mucus secreting cell
http://purl.obolibrary.org/obo/CL_0000378,supporting cell (sensu Nematoda and Protostomia)
http://purl.obolibrary.org/obo/CL_4052024,myotendinous junction nucleus
http://purl.obolibrary.org/obo/CL_0017508,cartwheel heterochromatin
http://purl.obolibrary.org/obo/CL_0017503,basophilic cytoplasm
http://purl.obolibrary.org/obo/CL_4052025,neuromuscular junction nucleus
http://purl.obolibrary.org/obo/CL_0017500,neutrophillic cytoplasm
http://purl.obolibrary.org/obo/CL_0017507,reniform nucleus
http://purl.obolibrary.org/obo/CL_0017504,polychromatophilic cytoplasm
http://purl.obolibrary.org/obo/CL_0017509,alobate nucleus
http://purl.obolibrary.org/obo/CL_0017502,acidophilic cytoplasm
http://purl.obolibrary.org/obo/CL_0017506,banded nucleus
