cell_label,cell_id,level,level_cell_id,level_cell_label
mesothelial cell of pleura,http://purl.obolibrary.org/obo/CL_1000491,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
mesothelial fibroblast,http://purl.obolibrary.org/obo/CL_4023054,L1,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell
mesothelial fibroblast,http://purl.obolibrary.org/obo/CL_4023054,L2,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
metallothionein-positive alveolar macrophage,http://purl.obolibrary.org/obo/CL_4033042,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
metallothionein-positive alveolar macrophage,http://purl.obolibrary.org/obo/CL_4033042,L2,http://purl.obolibrary.org/obo/CL_0000235,macrophage
microvascular endothelial cell,http://purl.obolibrary.org/obo/CL_2000008,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
monocyte,http://purl.obolibrary.org/obo/CL_0000576,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
monocyte,http://purl.obolibrary.org/obo/CL_0000576,L2,http://purl.obolibrary.org/obo/CL_0000576,monocyte
monocyte-derived dendritic cell,http://purl.obolibrary.org/obo/CL_0011031,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
monocyte-derived dendritic cell,http://purl.obolibrary.org/obo/CL_0011031,L2,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
mucus secreting cell of bronchus submucosal gland,http://purl.obolibrary.org/obo/CL_4033022,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
mucus secreting cell of bronchus submucosal gland,http://purl.obolibrary.org/obo/CL_4033022,L2,http://purl.obolibrary.org/obo/CL_0000152,exocrine cell
multiciliated columnar cell of tracheobronchial tree,http://purl.obolibrary.org/obo/CL_0002145,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
multiciliated epithelial cell,http://purl.obolibrary.org/obo/CL_0005012,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
muscle cell,http://purl.obolibrary.org/obo/CL_0000187,L1,http://purl.obolibrary.org/obo/CL_0000187,muscle cell
myeloid cell,http://purl.obolibrary.org/obo/CL_0000763,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
myofibroblast cell,http://purl.obolibrary.org/obo/CL_0000186,L1,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell
naive B cell,http://purl.obolibrary.org/obo/CL_0000788,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
naive B cell,http://purl.obolibrary.org/obo/CL_0000788,L2,http://purl.obolibrary.org/obo/CL_0000236,B cell
naive regulatory T cell,http://purl.obolibrary.org/obo/CL_0002677,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
naive regulatory T cell,http://purl.obolibrary.org/obo/CL_0002677,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
"naive thymus-derived CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000895,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"naive thymus-derived CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000895,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
"naive thymus-derived CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000900,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"naive thymus-derived CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000900,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
natural killer cell,http://purl.obolibrary.org/obo/CL_0000623,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
neuroendocrine cell,http://purl.obolibrary.org/obo/CL_0000165,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
neuroendocrine cell,http://purl.obolibrary.org/obo/CL_0000165,L1,http://purl.obolibrary.org/obo/CL_0002319,neural cell
neuroendocrine cell,http://purl.obolibrary.org/obo/CL_0000165,L2,http://purl.obolibrary.org/obo/CL_0000540,neuron
neuron,http://purl.obolibrary.org/obo/CL_0000540,L1,http://purl.obolibrary.org/obo/CL_0002319,neural cell
neuron,http://purl.obolibrary.org/obo/CL_0000540,L2,http://purl.obolibrary.org/obo/CL_0000540,neuron
neutrophil,http://purl.obolibrary.org/obo/CL_0000775,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
neutrophil,http://purl.obolibrary.org/obo/CL_0000775,L2,http://purl.obolibrary.org/obo/CL_0000081,blood cell
nodal myocyte,http://purl.obolibrary.org/obo/CL_0002072,L1,http://purl.obolibrary.org/obo/CL_0000187,muscle cell
